,file,book,chapter,question,answer
56,bamidbar15,במדבר,15,"משה לא ידע באיזה צורה להרוג את המקושש, אבל הוא ידע שדינו מות",False
57,bamidbar15,במדבר,15,ה' אמר שיש לתלות את המקושש,False
60,bamidbar15,במדבר,15,בפרשת ציצית זוכרים גם את יציאת מצרים,True
61,bamidbar16,במדבר,16,קורח היה משבט לוי,True
62,bamidbar16,במדבר,16,דתן ואבירם היו גם הם משבט לוי,False
63,bamidbar16,במדבר,16,"200 השתתפו במרד, בנוסף לקורח דתן ואבירם",False
64,bamidbar16,במדבר,16,און בן פלת התחיל במרד אך לא המשיך,True
65,bamidbar16,במדבר,16,"משה הציע , כדי לראות במי בחר ה' שכל אחד מהמורדים יקריב טלה",False
66,bamidbar16,במדבר,16,"משה אומר לבני לוי המורדים , אין לכם סיבה למרוד הרי ה' בחר בכם",True
67,bamidbar16,במדבר,16,"משה הראה שאין לחסוך במאמצים כדי לבטל מחלוקת, הוא ניסה עם דתן ואבירם בדרכי שלום",True
68,bamidbar16,במדבר,16,דתן ואבירם מגיבים בשמחה על דברי משה ומוכנים להשלים איתו,False
69,bamidbar16,במדבר,16,"הטענות של דתן ואבירם: לא הגענו לארץ ישראל, אנחנו נמות במדבר, אתה משתלט עלינו",True
70,bamidbar16,במדבר,16,משה כועס ומבקש מה' לשמוע לתפילת המורדים ולקבל את קטורתם,False
71,bamidbar16,במדבר,16,משה כועס וטוען שלקח רק חמישה חמורים מישראל,False
72,bamidbar16,במדבר,16,"משה מכנס את כל המורדים, ומציע שלכל אחד תהיה מחתה עם קטורת",True
73,bamidbar16,במדבר,16,קורח הקהיל את כל העדה אל פתח אוהל מועד,True
74,bamidbar16,במדבר,16,"ה' ירד בעמוד ענן על אוהל מועד, ורצה להשמיד את כל עדת קורח",True
75,bamidbar16,במדבר,16,משה ואהרן הסכימו שה' ישמיד את קורח ועדתו,False
76,bamidbar16,במדבר,16,ה' אומר למשה שירחיק את העם מאוהלי קורח דתן ואבירם,False
77,bamidbar16,במדבר,16,"קורח, דתן ואבירם עמדו זקופים בפתח אוהליהם עם בני משפחותיהם",True
78,bamidbar16,במדבר,16,"האדמה נבקעה כמו שאמר משה , ובלעה את המורדים על משפחותיהם",True
79,bamidbar16,במדבר,16,כשעם ישראל ראה את בקיעת האדמה הוא מחא כפיים,False
80,bamidbar16,במדבר,16,אש שיצאה מלפני ה' שרפה את 250 מקריבי הקטורת,True
81,bamidbar17,במדבר,17,תפקידו של אלעזר אחרי המרד היה לאסוף את מחתות המורדים,True
82,bamidbar17,במדבר,17,את המחתות חיבר אלעזר לשולחן,False
83,bamidbar17,במדבר,17,מטרת המחתות להזכיר שאסור לאיש שאינו מבני אהרן לעבוד במקדש,True
84,bamidbar17,במדבר,17,""" אַתֶּם הֲמִתֶּם אֶת עַם ה’"": התלונן העם על משה ואהרן
",True
85,bamidbar17,במדבר,17,""" הֵרֹמּוּ מִתּוֹךְ הָעֵדָה הַזֹּאת וַאֲכַלֶּה אֹתָם כְּרָגַע"", ה' מתכוין להשמיד את ישראל",True
86,bamidbar17,במדבר,17,משה ואהרן נופלים על פניהם,True
87,bamidbar17,במדבר,17,"לפי הנחיית משה,  אהרן לוקח מחתה עם קטורת כדי להפסיק את המגיפה",True
88,bamidbar17,במדבר,17,אהרן רץ אל תוך הקהל כי ראה שהתחילה המגיפה,True
89,bamidbar17,במדבר,17,תפקיד המחתה היה לשרוף את הפצעים של הניפגעים,False
90,bamidbar17,במדבר,17,אהרן נעמד בין החיים למתים וכך כיפר על בני ישראל והפסיק את המגיפה,True
91,bamidbar17,במדבר,17,במגיפה מתו 40 אלף ו 700,False
92,bamidbar17,במדבר,17,"כדי להוכיח שאהרן נבחר על ידי ה', ההוכחה בוצעה באמצעות המטות ",True
93,bamidbar17,במדבר,17,המטות נלקחו מ 12 נשיאי השבטים,True
94,bamidbar17,במדבר,17,על כל מטה רשמו את שם אשת נשיא השבט,False
95,bamidbar17,במדבר,17,הסימן: בעל המטה שיפרח הוא שנבחר ע'י ה',True
96,bamidbar17,במדבר,17,המטה פרח והוציא אשכול ענבים,False
97,bamidbar17,במדבר,17,המטה שפרח היה של נשיא שבט יהודה,False
98,bamidbar17,במדבר,17,"המטה שפרח הונח לזכרון לפני העדות, כדי שלא יתלוננו יותר",True
99,bamidbar17,במדבר,17,""" הֵן גָּוַעְנוּ אָבַדְנוּ כֻּלָּנוּ אָבָדְנוּ"" אמרו בני ישראל כששמעו שהמן יפסיק לרדת",False
100,bamidbar17,במדבר,17,""" כֹּל הַקָּרֵב הַקָּרֵב אֶל מִשְׁכַּן ה’ יָמוּת"", אמר משה",False
101,bamidbar18,במדבר,18,האחריות להיתנהלות תקינה של עבודות המקדש מוטלת על אהרן ובניו,True
102,bamidbar18,במדבר,18,תפקיד שבט לוי לעזור לכוהנים.,True
103,bamidbar18,במדבר,18,ההתראה שלא יתקרבו זרים למקדש/משכן היתה על המלכים,False
104,bamidbar18,במדבר,18,יש 24 מתנות כהונה,True
105,bamidbar18,במדבר,18,קדשי קודשים אינם נאכלים ע'י הכהנים,False
106,bamidbar18,במדבר,18,קרבנות מתנה נאכלים ע'י הכהנים ובני משפחתם בתנאי שהם טהורים,True
107,bamidbar18,במדבר,18,תרומה גדולה מותרת רק לכהנים זכרים,False
110,bamidbar18,במדבר,18,בכור אדם נפדה בגיל חודש ב  5  שקלים,True
111,bamidbar18,במדבר,18,בכור בהמה טהורה בשרו נאכל ע'י הכהנים ובני משפחותיהם,True
112,bamidbar18,במדבר,18,הנחלה הגדולה ביותר ניתנה לשבט לוי,False
113,bamidbar18,במדבר,18,שבט לוי מקבל מעשר מכל יבול של ישראל,True
114,bamidbar18,במדבר,18,מעשר  =  10%,True
115,bamidbar18,במדבר,18,2 סיבות שנותנים מעשר ללוי: 1. כתמורה לעבודה במקדש. 2. אין להם נחלה,True
116,bamidbar18,במדבר,18,הלויים צריכים לדאוג שהכהנים לא יתקרבו למקדש/משכן,False
117,bamidbar18,במדבר,18,"אם מישהו מתקרב לקודש, האחריות על הלוי להזהיר את המתקרב",True
118,bamidbar18,במדבר,18,"תרומת מעשר, היא התרומה שהלויים צריכים לתת לכהנים",True
122,bamidbar19,במדבר,19,"המילה ""חוקה"" פירושה גזירה מלפני ה'",True
123,bamidbar19,במדבר,19,"""אדומה תמימה"" , פירושו : כולה אדומה ללא שערה אחת בצבע אחר",True
124,bamidbar19,במדבר,19,הפרה האדומה צריכה להיות לפחות עם פצע אחד,False
125,bamidbar19,במדבר,19,הפרה האדומה חייבים לחרוש איתה,False
126,bamidbar19,במדבר,19,כדי לשחוט את הפרה האדומה יש להוציאה מחוץ לכל המחנות,True
127,bamidbar19,במדבר,19,את הפרה חייבים לשרוף,True
128,bamidbar19,במדבר,19,"לתוך הפרה השרופה צריך לזרוק: עץ ארז, אזוב ותולעת שני",True
129,bamidbar19,במדבר,19,הכהנים שמטפלים בהכנת הפרה לא צריכים לטבול יותר לטהרתם,False
130,bamidbar19,במדבר,19,את אפר הפרה אוסף איש טהור,True
131,bamidbar19,במדבר,19,"האיש הטהור שאסף את האפר, נטמא עד הערב",True
132,bamidbar19,במדבר,19,אפר הפרה נשמר לצורך עשיית מי חטאת,True
133,bamidbar19,במדבר,19,"""מי חטאת"" הכוונה: כל מי שחטא מתיזים עליו מים שמעורבים באפר הפרה",True
135,bamidbar19,במדבר,19,"טמא מת ביום השביעי לטומאתו מזים עליו ""מי חטאת""",True
136,bamidbar19,במדבר,19,אם נפטר מישהו בבית כל מי ומה שנמצא בבית נעשה טמא,True
138,bamidbar19,במדבר,19,אדם הנוגע במת בשטח פתוח לא נטמא,False
139,bamidbar19,במדבר,19,"כדי לטהר אנשים וכלים שנטמאו בטומאת מת, לוקחים אזוב טובלים אותו במי חטאת ומתיזים על האדם או הכלים הטמאים. עושים זאת ביום השלישי וביום השביעי לטומאתם",True
140,bamidbar19,במדבר,19,מי שמזה את מי החטאת על הטמאים אפילו בגדיו נטמאים,True
141,bamidbar20,במדבר,20,ארוע ראשון שמציינת התורה בשנה ה – 40 הוא מות מרים,True
142,bamidbar20,במדבר,20,"מיתת צדיקים מכפרת, כמו קרבנות (פרה אדומה), לכן, צמודים פרה אדומה ומות מרים",True
143,bamidbar20,במדבר,20,"הארוע השני שמציינת התורה בשנה ה – 40, הוא המחסור במים מיד לאחר מות מרים, מכאן שכל 40 שנות המדבר באר המים היתה בזכות מרים",True
144,bamidbar20,במדבר,20,העם אינו מתלונן על המחסור במים,False
145,bamidbar20,במדבר,20,"משה ואהרן מגיעים לפתח אוהל מועד , נופלים על פניהם , ואז ניגלה כבוד ה'",True
146,bamidbar20,במדבר,20,ה' מצוה את משה: א. לקחת את המטה. ב. להקהיל את העדה. ג. לדבר אל הסלע,True
147,bamidbar20,במדבר,20,"""שמעו נא המורים"" , משה קורא לכל אלה שלימדו את ישראל",False
148,bamidbar20,במדבר,20,"משה מכה בסלע במקום לדבר אליו, אחרי שהיכה פעמיים יצאו מים",True
149,bamidbar20,במדבר,20,"ההכאה בסלע במקום לדבר אליו, הסיבה היחידה שמשה ואהרן לא נכנסו לארץ",True
150,bamidbar20,במדבר,20,שמו של ה' היה מתקדש אם הסלע היה נותן מים אחרי שהיו מדברים אליו בשם ה',True
151,bamidbar20,במדבר,20,"""מי מריבה"" כך נקרא המקום כי המים היו סמיכים כמו ריבה",False
153,bamidbar20,במדבר,20,משה מבקש ממלך אדום רשות מעבר בארצו,True
154,bamidbar20,במדבר,20,משה מבטיח למלך אדום שבזמן שיעברו בארצו יקנו ממנו אוכל ומים אע'פ שיש להם באר לשתות ומן לאכול,True
155,bamidbar20,במדבר,20,מלך אדום מסכים שישראל יעברו דרך ארצו,False
156,bamidbar20,במדבר,20,מות אהרן היה בהור ההר,True
158,bamidbar20,במדבר,20,ה' מצוה את משה שלהור ההר יעלה גם אלעזר בן אהרן,True
160,bamidbar20,במדבר,20,"כתוב שכל עם ישראל בכו על מות אהרן , כי היה אהרן רודף שלום, כלומר משלים בין אנשים שרבים ובין איש לאשתו",True
161,bamidbar21,במדבר,21,עם ראשון מארץ ישראל שתקף את ישראל היה הכנעני מערד,True
162,bamidbar21,במדבר,21,"מקום הנצחון על הכנעני מלך ערד נקרא : ""הצלחה""",False
163,bamidbar21,במדבר,21,""" וַתִּקְצַר נֶפֶשׁ הָעָם בַּדָּרֶךְ"" ולכן דיברו נגד ה' ומשה",True
164,bamidbar21,במדבר,21,"ה' כעס ושלח נחשים שנשכו בעם, עם רב מת",True
165,bamidbar21,במדבר,21,"העם מתנצל: "" חָטָאנוּ כִּי דִבַּרְנוּ בַידֹוָד וָבָךְ""",True
166,bamidbar21,במדבר,21,משה מסרב להתפלל בעד העם,False
167,bamidbar21,במדבר,21,"משה על פי הוראת ה', עושה נחש מנחושת ושם אותו על מוט ארוך",True
168,bamidbar21,במדבר,21,"כל מי שננשך, והביט אל נחש הנחושת היה רואה את השמיים ומשעבד לבו לה', היה מתרפא מנשיכת הנחש",True
169,bamidbar21,במדבר,21,"עם ישראל נע בדרך ארוכה מאוד: מאובות, לנחל זרד ומשם לנחל הארנון",True
174,bamidbar21,במדבר,21,משה שולח שליחים אל סיחון מלך הבשן,True
175,bamidbar21,במדבר,21,משה מבקש מסיחון שיאפשר לישראל לחצות בדרכים ראשיות בלי לגעת בכלום,True
176,bamidbar21,במדבר,21,בתגובה לבקשת משה סיחון מסכים למעבר בני ישראל,False
177,bamidbar21,במדבר,21,ישראל נלחמים בסיחון ועמו וכובשים מהארנון עד היבוק,True
178,bamidbar21,במדבר,21,"כך אומרים מושלי המשלים: "" בֹּאוּ חֶשְׁבּוֹן תִּבָּנֶה וְתִכּוֹנֵן עִיר סִיחוֹן""",True
180,bamidbar21,במדבר,21,"מלחמה שלישית בפרק זה היתה נגד עוג ועמו, התוצאה כיבוש כל ארצו והשמדת עמו",True
182,bamidbar22,במדבר,22,"בלק מלך מואב ראה: "" אֵת כָּל אֲשֶׁר עָשָׂה יִשְׂרָאֵל לָאֱמֹרִי"", כלומר, לסיחון ולעוג, וזה מה שגרם לו לפחוד",True
183,bamidbar22,במדבר,22,הפחד מישראל הביא לשלום בין האויבים: מדין ומואב,True
184,bamidbar22,במדבר,22,פתורה = הבה לנו פתרון,False
185,bamidbar22,במדבר,22,"בלק מבקש מבלעם: "" וְעַתָּה לְכָה נָּא אָרָה לִּי אֶת הָעָם הַזֶּה""",True
186,bamidbar22,במדבר,22,"בלעם אהב את ישראל ולכן , לא שמח לקללם",False
187,bamidbar22,במדבר,22,"זקני מדין מציעים לזקני מואב: "" לִינוּ פֹה הַלַּיְלָה וַהֲשִׁבֹתִי אֶתְכֶם דָּבָר""",False
188,bamidbar22,במדבר,22,"ה' שואל את בלעם: "" מִי הָאֲנָשִׁים הָאֵלֶּה עִמָּךְ:""",True
190,bamidbar22,במדבר,22,"ה' אוסר על בלעם ללכת לקלל את ישראל , ואילו בלעם אומר לשרים: ""כי מאן ה' לתתי להלוך עמכם"", כלומר, הנכם שרים מדרג נמוך ואין זה נאה שאלך עמכם",True
191,bamidbar22,במדבר,22,"למשלחת השנייה ששולח בלק, אומר בלעם: "" אִם יִתֶּן לִי בָלָק מְלֹא בֵיתוֹ כֶּסֶף וְזָהָב לֹא אוּכַל לַעֲבֹר אֶת פִּי יְדֹוָד"" , לומדים מכאן שבלעם שנא כסף",True
192,bamidbar22,במדבר,22,"ה' מרשה לבלעם ללכת, בתנאי, שיאמר רק מה שה' ישים בפיו",True
193,bamidbar22,במדבר,22,"מרוב שמחה , על שהותר לו ללכת, חבש בלעם את אתונו בעצמו",True
195,bamidbar22,במדבר,22,מלאך ה' ניצב בדרכו של בלעם שלוש פעמים,True
196,bamidbar22,במדבר,22,בפעם הראשונה שראתה האתון את המלאך היא סטתה מהדרך,True
197,bamidbar22,במדבר,22,"בפעם השלישית שראתה האתון את המלאך,  רבצה תחתיה",True
198,bamidbar22,במדבר,22,"""בדרך שאדם רוצה לילך בה מוליכין אותו"", לכן, הסכים המלאך שבלעם ימשיך בדרכו, שיוביל לאובדנו",True
199,bamidbar22,במדבר,22,בלק יצא לקראת בלעם עד לגבול הצפוני של ממלכתו באזור הארנון,True
201,bamidbar23,במדבר,23,"בנסיון ראשון של בלעם לקלל, הוא אומר לבלק לבנות  7 מזבחות",True
202,bamidbar23,במדבר,23,"""וילך שפי"" פירושו: יחידי",True
208,bamidbar23,במדבר,23,בלעם מאחל לעצמו סוף שונה מסופו של עם ישראל,False
209,bamidbar23,במדבר,23,בלק כועס על בלעם בגלל הברכות,True
210,bamidbar23,במדבר,23,"בלעם עונה לבלק: "" הֲלֹא אֵת אֲשֶׁר יָשִׂים ה’ בְּפִי אֹתוֹ אֶשְׁמֹר לְדַבֵּר""",True
211,bamidbar23,במדבר,23,"""וקבנו לי"" מצווה בלק על בלעם: קלל אותם בשבילי",True
212,bamidbar23,במדבר,23,שדה צופים הוא המקום ממנו רואים את כל מחנה ישראל,False
213,bamidbar23,במדבר,23,שדה צופים הוא המקום שלקח בלק את בלעם לקראת הברכה השנייה,True
214,bamidbar23,במדבר,23,""" וְאָנֹכִי אִקָּרֶה כֹּה"" אומר בלעם לבלק, וכוונתו אולי יאמר לי ה' משהו",True
215,bamidbar23,במדבר,23,בלעם בדבריו מבהיר: ה' בירך את ישראל ואני לא יכול לשנות זאת,True
217,bamidbar23,במדבר,23,""" כִּי לֹא נַחַשׁ בְּיַעֲקֹב וְלֹא קֶסֶם בְּיִשְׂרָאֵל"", אין בישראל קוסמים ומנחשים",True
218,bamidbar23,במדבר,23,"בדבריו הבאים מתאר בלעם את חריצותם למען המצוות משעות הבוקר: "" הֶן עָם כְּלָבִיא יָקוּם וְכַאֲרִי יִתְנַשָּׂא""",True
219,bamidbar23,במדבר,23,"בלק כועס על הברכה השנייה ואומר , אם לא קללת, לפחות לא היית מברך אותם",True
220,bamidbar23,במדבר,23,"בלק עונה לבלעם: "" כֹּל אֲשֶׁר יְדַבֵּר ה’ אֹתוֹ אֶעֱשֶׂה"":
 ",True
221,bamidbar27,במדבר,27,בנות צלפחד ביקשו ממשה להישאר בעבר הירדן,False
222,bamidbar27,במדבר,27,"מה שגרם לבנות נלפחד לבקש, הסיבה: היו לצלפחד בנים רבים מידי",False
223,bamidbar27,במדבר,27,בדברי ה' למשה שני חלקים. א. הוא נענה לבקשת הבנות. ב. ה' נותן דירוג ליורשים,True
229,bamidbar27,במדבר,27,"שמות הבנות: מחלה, תרצה, חגלה, מילכה ונועה",True
231,bamidbar27,במדבר,27,"ה' מורה למשה לעלות אל הר העברים, לראות את הארץ.",True
232,bamidbar27,במדבר,27,"הסיבה שה' מזכיר כאן את חטאו של משה במי מריבה, כדי להדגיש שזה היה החטא היחיד",True
233,bamidbar27,במדבר,27,משה מבקש שה' ימנה מישהו אחר במקומו,True
234,bamidbar27,במדבר,27,"תפקידו של המנהיג , לדעת משה, הינו ללכת מאחורי הלוחמים",True
235,bamidbar27,במדבר,27,גם במלחמה מול עוג הלך משה מאחור,True
236,bamidbar27,במדבר,27,ה' מצווה את משה לקחת את יהושע כמנהיג,True
238,bamidbar27,במדבר,27,היציאה למלחמה של יהושע תהיה על – פי אלעזר הכהן הגדול,True
239,bamidbar27,במדבר,27,ה' אמר למשה לסמוך את יהושע ביד אחת ומשה סמכו בשתי ידיים,True
240,bamidbar27,במדבר,27,יהושע מוסמך למנהיגות על ישראל ע'י משה,True
242,bamidbar30,במדבר,30,אדם חיב לידור נדרים,False
244,bamidbar30,במדבר,30,"נדר, הוא שבועה שלא אעשה משהו (למשל , שלא אוכל מאכל מסויים)",True
245,bamidbar30,במדבר,30,"""לא יחל דברו"" כוונת הדברים , לא יחלל את דברו",True
246,bamidbar30,במדבר,30,"הנודר, חייב לממש את נידרו",True
247,bamidbar30,במדבר,30,"""וְאִשָּׁה כִּי תִדֹּר נֶדֶר לַידֹוָד וְאָסְרָה אִסָּר בְּבֵית אָבִיהָ בִּנְעֻרֶיה"" , מדובר בנערה שנמצאת עדיין ברשות אביה",True
249,bamidbar30,במדבר,30,""" וְהֶחֱרִישׁ לָהּ אָבִיהָ"", כלומר אביה שמע אותה נודרת ולא הגיב , נידרה מתקיים והיא חייבת בו.",True
250,bamidbar30,במדבר,30,""" וְאִם הֵנִיא אָבִיהָ אֹתָהּ בְּיוֹם שָׁמְעוֹ"", כוונת הדברים, גם אם האב מיפר לה את נידרה ביום ששמע עליו, הנדר מתקיים",False
251,bamidbar30,במדבר,30,""" וְאִם הָיוֹ תִהְיֶה לְאִישׁ וּנְדָרֶיהָ עָלֶיהָ"" , מדובר בנערה מאורסה שאיננה נשואה עדיין",True
252,bamidbar30,במדבר,30,"נערה מאורסה, פירושו נערה שבעלה המיועדת אירס אותה, אך עדיין לא עברה לגור איתו, והיא נמצאת בבית הוריה עד לנישואין",True
253,bamidbar30,במדבר,30," נערה מאורסה, הפרת נידרה תלויה באב ובבעל",False
255,bamidbar30,במדבר,30,""" כֹּל אֲשֶׁר אָסְרָה עַל נַפְשָׁהּ יָקוּם עָלֶיהָ"", מדובר באישה ברשות עצמה (אלמנה או גרושה)",True
256,bamidbar30,במדבר,30,"אישה נשואה שנדרה , יכול הבעל להפר ביום שמעו על הנדר.",True
257,bamidbar30,במדבר,30,"אישה נשואה שנדרה, יכול האב להפר ביום שמעו על הנדר",False
259,bamidbar30,במדבר,30,""" וְאִם הָפֵר יָפֵר אֹתָם אַחֲרֵי שָׁמְעוֹ"", משמעותו: הבעל הסכים לנדר ומאוחר באותו היום הוא התחרט ואסר על אשתו לקיים את הנדר, חטאה יחול על הבעל",True
260,bamidbar30,במדבר,30,"""ונשא את עוונה"", לומדים מכאן שהגורם תקלה לחברו, הוא נענש במקום חברו",True
263,bamidbar31,במדבר,31,למלחמה במדין יצאו 10 אלפים לוחמים,False
265,bamidbar31,במדבר,31,בראש הלוחמים היה פנחס,False
266,bamidbar31,במדבר,31,"הכוונה ב""כלי הקודש"" שבפסוק ו': הארון והציץ",True
267,bamidbar31,במדבר,31,ששה מלכים היו למדין שנהרגו בקרב עם ישראל,False
268,bamidbar31,במדבר,31,בלעם בן בעור נהרג גם הוא בקרב זה,True
270,bamidbar31,במדבר,31,את כל ערי מדין העלו באש,True
271,bamidbar31,במדבר,31,משה כעס על קציני החייל בגלל השלל האנושי של נשים שהירשו לקחת,True
272,bamidbar31,במדבר,31,הלוחמים היו טמאי מתים ולכן המתינו מחוץ למחנה שכינה  7 ימים,True
274,bamidbar31,במדבר,31,אלעזר מסביר להם את עקרונות גיעולי כלים טמאים,True
275,bamidbar31,במדבר,31,"העקרון החשוב ביותר לעניני טיהור כלים, כל כלי נטהר כדרך שימושו. למשל שיפודים יש להעביר וללבן באש...",True
278,bamidbar31,במדבר,31,הלוחמים הפרישו מחלקם בשלל תרומה לה' אחד מ חמש מאות,True
279,bamidbar31,במדבר,31,במלחמה מול מדיין לא נחסר אפילו אחד מישראל,True
280,bamidbar31,במדבר,31,כאות תודה על הנצחון במדיין צמו קציני הצבא שלושה ימים,False
281,bamidbar32,במדבר,32,בני ראובן וגד פחדו להילחם ולכן ביקשו נחלה בעבר הירדן,False
282,bamidbar32,במדבר,32,"זוהי בקשתם: ""אִם מָצָאנוּ חֵן בְּעֵינֶיךָ יֻתַּן אֶת הָאָרֶץ הַזֹּאת לַעֲבָדֶיךָ לַאֲחֻזָּה""",True
283,bamidbar32,במדבר,32,"משה כועס ואומר להם: "" הַאַחֵיכֶם יָבֹאוּ לַמִּלְחָמָה וְאַתֶּם תֵּשְׁבוּ פֹה""",True
284,bamidbar32,במדבר,32,"משה מזכיר בדבריו ל 2 השבטים, את חטא המרגלים",True
285,bamidbar32,במדבר,32,"חטא המרגלים היה: "" וַיָּנִיאוּ אֶת לֵב בְּנֵי יִשְׂרָאֵל לְבִלְתִּי בֹא אֶל הָאָרֶץ אֲשֶׁר נָתַן לָהֶם ה’""",True
286,bamidbar32,במדבר,32,"העונש על חטא המרגלים היה, כל מי שהיה בן  25 ומעלה לא יראה את הארץ",False
287,bamidbar32,במדבר,32,"רק שני אנשים נשארו מהמרגלים, כלב ויהושע, כי האמינו בה'",True
288,bamidbar32,במדבר,32,"משה מזהיר את שני השבטים שבבקשתם יגרמו: "" לִסְפּוֹת עוֹד עַל חֲרוֹן אַף ה’ אֶל יִשְׂרָאֵל"". ושוב יהיה עונש על ישראל",True
289,bamidbar32,במדבר,32,"שני השבטים מציעים בבקשתם השנייה, לבנות גדרות לצאן וערים לילדיהם",True
